"","ImageNumber","Count_Nuclei","FileName_Dna","FileName_Overlay","ImageQuality_PowerLogLogSlope_Dna","Mean_Nuclei_AreaShape_Area","Mean_Nuclei_Intensity_IntegratedIntensity_Dna","Mean_Nuclei_Intensity_MaxIntensity_Dna","Mean_Nuclei_Intensity_MeanIntensity_Dna","Metadata_gene","Metadata_plate","Metadata_posNum","Metadata_siRNA","Metadata_timeNum","Metadata_wellNum","PathName_Dna","PathName_Overlay","Metadata_gene_siRNA","Metadata_batch_treatment"
"92",92,55,"EMBO_2012_Group3--empty--empty--W0007--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--empty--empty--W0007--P001--T00090--Z000--C01.ome.png.jpg",-1.078529714,575.5636364,9.149184751,0.031034082,0.015990148,"empty","EMBO_2012_Group3",1,"empty",90,7,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00007--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group3__empty"
"93",93,190,"EMBO_2012_Group3--empty--empty--W0017--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--empty--empty--W0017--P001--T00090--Z000--C01.ome.png.jpg",-1.231139796,559.6947368,8.737032749,0.027520135,0.015528486,"empty","EMBO_2012_Group3",1,"empty",90,17,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00017--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group3__empty"
"94",94,144,"EMBO_2012_Group2--s3371--COPB1--W0094--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s3371--COPB1--W0094--P001--T00090--Z000--C01.ome.png.jpg",-1.119052932,587.6388889,6.743004018,0.022086382,0.011518173,"COPB1","EMBO_2012_Group2",1,"s3371",90,94,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00094--s3371--COPB1/P00001--s3371--COPB1","/g/EMBO_HTM_2012--cp/images","COPB1_s3371","EMBO_2012_Group2__COPB1"
"95",95,175,"EMBO_2012_Group3--empty--empty--W0020--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--empty--empty--W0020--P001--T00090--Z000--C01.ome.png.jpg",-1.220877535,552.7428571,9.451342315,0.029510602,0.016838391,"empty","EMBO_2012_Group3",1,"empty",90,20,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00020--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group3__empty"
"96",96,189,"EMBO_2012_Group2--s17612--AURKB--W0096--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s17612--AURKB--W0096--P001--T00090--Z000--C01.ome.png.jpg",-1.114005213,743.2275132,7.982754323,0.022624129,0.010704414,"AURKB","EMBO_2012_Group2",1,"s17612",90,96,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00096--s17612--AURKB/P00001--s17612--AURKB","/g/EMBO_HTM_2012--cp/images","AURKB_s17612","EMBO_2012_Group2__AURKB"
"97",97,149,"EMBO_2012_Group3--s229174--Scramble--W0018--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--s229174--Scramble--W0018--P001--T00090--Z000--C01.ome.png.jpg",-1.182555369,529.3624161,7.51670096,0.022922538,0.013976275,"Scramble","EMBO_2012_Group3",1,"s229174",90,18,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00018--s229174--Scramble/P00001--s229174--Scramble","/g/EMBO_HTM_2012--cp/images","Scramble_s229174","EMBO_2012_Group3__Scramble"
"98",98,252,"EMBO_2012_Group2--empty--empty--W0093--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0093--P001--T00090--Z000--C01.ome.png.jpg",-1.409085907,607.297619,5.70998825,0.013601795,0.009029732,"empty","EMBO_2012_Group2",1,"empty",90,93,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00093--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"99",99,142,"EMBO_2012_Group3--empty--empty--W0019--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--empty--empty--W0019--P001--T00090--Z000--C01.ome.png.jpg",-1.248994538,554.7253521,8.936494274,0.027773568,0.015995896,"empty","EMBO_2012_Group3",1,"empty",90,19,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00019--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group3__empty"
"100",100,156,"EMBO_2012_Group2--empty--empty--W0095--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0095--P001--T00090--Z000--C01.ome.png.jpg",-1.116212549,638.5448718,6.70217605,0.020464799,0.010697072,"empty","EMBO_2012_Group2",1,"empty",90,95,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00095--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"101",101,190,"EMBO_2012_Group2--empty--empty--W0065--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0065--P001--T00090--Z000--C01.ome.png.jpg",-1.016816836,488.5947368,5.860069847,0.021127011,0.01144674,"empty","EMBO_2012_Group2",1,"empty",90,65,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00065--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
